title,dozents,majors
Advanced Scientific Working (S),Prassler,MAS
Advanced Software Technology (V),Mitrevski,MAS
Advanced Software Technology (Ü),Mitrevski,MAS
Agiles Requirements Engineering (V/Ü),Bürsner,BCSP;BI;BWI
Algorithmen & Datenstrukturen & Graphentheorie (V),Thiele,BI
Algorithmen & Datenstrukturen & Graphentheorie Gr. A (Ü),Thiele,BI
Algorithmen & Datenstrukturen & Graphentheorie Gr. B (Ü),Zarychta,BI
Algorithmen und Datenanalyse in Life Science (V/Ü),Thiele,MCSP;MI;MVG
Algorithmen zur Sequenzanalyse (V/Ü),Thiele,BI
Android Robotik Projekt (V/Ü),Breuer,BI
Angewandte Binäranalyse (BONN+Online) (V/Ü),Padilla,BCSP;BI;BWI
Artificial Intelligence (V/Ü),Hassan,MAS;MCSP;MI;MVG
Ausgewählte Themen aus IT-Recht und Rechtsinformatik (V/Ü),Stiemerling,BWI
Autonomous Mobile Robots (V),Mitrevski,MAS;MCSP;MI;MVG
Autonomous Mobile Robots (Ü),Mitrevski,MAS;MCSP;MI;MVG
Beginning German (A1.1) Gr. 1 (SU),Kärcher-SPZ,Sprachkurse
Beginning German (A1.1) Gr. 2 (SU),Paust-SPZ,Sprachkurse
Beginning German (A1.2) Gr. 1 (SU),Kärcher-SPZ,Sprachkurse
Beginning German (A1.2) Gr. 2 (SU),Paust-SPZ,Sprachkurse
Betriebssysteme (V),"Böhmer, St.",BCSP;BI
Betriebssysteme Gr. 1 (Ü),Ewert,BCSP;BI
Betriebssysteme Gr. 2 (Ü),Ewert,BI
Betriebssysteme Gr. 2 (Ü),Welle,BCSP
Betriebssysteme Gr. 3 (Ü),Welle,BI
Betriebssysteme Gr. 4 (Ü),Welle,BI
Betriebswirtschaftslehre (V),Dum,BI
Betriebswirtschaftslehre (Ü),Dum,BI
Betriebswirtschaftslehre Zus. Gr. (Ü),Dum,BI
Business English Gr. A (SU),Müller-SPZ,BWI;Sprachkurse
Business English Gr. B (SU),Werthwein-SPZ,BWI;Sprachkurse
Business English Gr. C (SU),Goletz-SPZ,BWI;Sprachkurse
Business English Gr. D (SU),Roth-SPZ,BWI;Sprachkurse
Business English Gr. E (SU),Müller-SPZ,BWI;Sprachkurse
Business English Gr. F (SU),Goletz-SPZ,BWI;Sprachkurse
Business English Gr. G (SU),Roth-SPZ,BWI;Sprachkurse
Businesssysteme im Gesundheitswesen (V/Ü),Lindlar,BCSP;BI;BWI
Cloud Security (V/Ü),Lo Iacono,MCSP;MI;MVG
Cluster Computing und Big Data (V/Ü),Hackelöer,MCSP;MI;MVG
