input,output
"A: a-->A, b-->A; in:A; fi:","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; in:A; fi:A","A: a-->A, b-->A; in:A; fi:A"
"A: a-->B, b-->B; B: a-->A, b-->B; in:A; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->B, b-->A; B: a-->B, b-->B; in:B; fi:","B: a-->B, b-->B; in:B; fi:"
"A: a-->A, b-->B; B: a-->A, b-->A; in:B; fi:A","A: a-->A, b-->B; B: a-->A, b-->A; in:B; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:B","A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->B; in:B; fi:A","A: a-->A, b-->A; B: a-->A, b-->B; in:B; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->B; in:A; fi:A","A: a-->A, b-->A; in:A; fi:A"
"A: a-->A, b-->A; B: a-->B, b-->A; in:A; fi:A","A: a-->A, b-->A; in:A; fi:A"
"A: a-->A, b-->B; B: a-->B, b-->A; in:A; fi:A","A: a-->A, b-->B; B: a-->B, b-->A; in:A; fi:A"
"A: a-->A, b-->B; B: a-->B, b-->B; in:A; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->A, b-->B; B: a-->B, b-->A; in:B; fi:B","A: a-->A, b-->B; B: a-->B, b-->A; in:B; fi:B"
"A: a-->B, b-->A; B: a-->A, b-->A; in:A; fi:A","A: a-->B, b-->A; B: a-->A, b-->A; in:A; fi:A"
"A: a-->B, b-->B; B: a-->A, b-->A; in:B; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->B, b-->A; in:A; fi:A,B","A: a-->A, b-->A; in:A; fi:A"
"A: a-->B, b-->A; B: a-->A, b-->A; in:A; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->B, b-->A; in:B; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->B, b-->B; in:A; fi:A","A: a-->A, b-->A; in:A; fi:A"
"A: a-->B, b-->B; B: a-->B, b-->A; in:B; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->B, b-->A; B: a-->B, b-->B; in:B; fi:B","B: a-->B, b-->B; in:B; fi:B"
"A: a-->A, b-->A; B: a-->B, b-->B; in:B; fi:A,B","B: a-->B, b-->B; in:B; fi:B"
"A: a-->A, b-->A; B: a-->B, b-->A; in:A; fi:B","A: a-->A, b-->A; in:A; fi:"
"A: a-->B, b-->A; B: a-->B, b-->A; in:A; fi:A","A: a-->B, b-->A; B: a-->B, b-->A; in:A; fi:A"
"A: a-->A, b-->B; B: a-->B, b-->B; in:A; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; in:A; fi:","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->B; B: a-->A, b-->A; in:A; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->B; B: a-->A, b-->B; in:B; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->B, b-->B; in:A; fi:B","A: a-->A, b-->A; in:A; fi:"
"A: a-->B, b-->B; B: a-->A, b-->A; in:B; fi:A","A: a-->B, b-->B; B: a-->A, b-->A; in:B; fi:A"
"A: a-->A, b-->B; B: a-->A, b-->B; in:A; fi:A","A: a-->A, b-->B; B: a-->A, b-->B; in:A; fi:A"
"A: a-->A, b-->B; B: a-->B, b-->B; in:B; fi:A","B: a-->B, b-->B; in:B; fi:"
"A: a-->A, b-->B; B: a-->A, b-->A; in:B; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->A, b-->A; B: a-->A, b-->A; in:A; fi:A","A: a-->A, b-->A; in:A; fi:A"
"A: a-->A, b-->B; B: a-->A, b-->A; in:A; fi:B","A: a-->A, b-->B; B: a-->A, b-->A; in:A; fi:B"
"A: a-->B, b-->B; B: a-->B, b-->A; in:A; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->B, b-->A; B: a-->B, b-->B; in:B; fi:A,B","B: a-->B, b-->B; in:B; fi:B"
"A: a-->B, b-->A; B: a-->A, b-->B; in:A; fi:B","A: a-->B, b-->A; B: a-->A, b-->B; in:A; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->B; in:A; fi:B","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->B; B: a-->B, b-->A; in:A; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->B, b-->B; B: a-->B, b-->B; in:A; fi:A","A: a-->B, b-->B; B: a-->B, b-->B; in:A; fi:A"
"A: a-->A, b-->A; B: a-->B, b-->B; in:B; fi:","B: a-->B, b-->B; in:B; fi:"
"A: a-->B, b-->A; B: a-->A, b-->B; in:B; fi:B","A: a-->B, b-->A; B: a-->A, b-->B; in:B; fi:B"
"A: a-->B, b-->B; B: a-->B, b-->A; in:B; fi:A","A: a-->B, b-->B; B: a-->B, b-->A; in:B; fi:A"
"A: a-->A, b-->B; B: a-->B, b-->B; in:A; fi:A","A: a-->A, b-->B; B: a-->B, b-->B; in:A; fi:A"
"A: a-->B, b-->B; B: a-->B, b-->A; in:B; fi:B","A: a-->B, b-->B; B: a-->B, b-->A; in:B; fi:B"
"A: a-->A, b-->B; B: a-->B, b-->B; in:B; fi:","B: a-->B, b-->B; in:B; fi:"
"A: a-->B, b-->B; B: a-->B, b-->A; in:A; fi:A","A: a-->B, b-->B; B: a-->B, b-->A; in:A; fi:A"
"A: a-->B, b-->A; B: a-->A, b-->B; in:B; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->B, b-->B; B: a-->A, b-->A; in:B; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->A, b-->A; B: a-->A, b-->A; in:A; fi:B","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->B, b-->A; in:A; fi:","A: a-->A, b-->A; in:A; fi:"
"A: a-->B, b-->A; B: a-->B, b-->B; in:A; fi:A","A: a-->B, b-->A; B: a-->B, b-->B; in:A; fi:A"
"A: a-->B, b-->B; B: a-->B, b-->B; in:B; fi:A","B: a-->B, b-->B; in:B; fi:"
"A: a-->B, b-->A; B: a-->B, b-->B; in:A; fi:B","A: a-->B, b-->A; B: a-->B, b-->B; in:A; fi:B"
"A: a-->B, b-->B; B: a-->B, b-->B; in:B; fi:A,B","B: a-->B, b-->B; in:B; fi:B"
"A: a-->B, b-->A; B: a-->B, b-->A; in:A; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->A, b-->B; B: a-->A, b-->B; in:A; fi:B","A: a-->A, b-->B; B: a-->A, b-->B; in:A; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->B; in:B; fi:B","A: a-->A, b-->A; B: a-->A, b-->B; in:B; fi:B"
"A: a-->B, b-->A; B: a-->B, b-->A; in:B; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->B, b-->A; B: a-->B, b-->A; in:B; fi:A","A: a-->B, b-->A; B: a-->B, b-->A; in:B; fi:A"
"A: a-->B, b-->A; B: a-->B, b-->B; in:A; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->B, b-->B; B: a-->A, b-->A; in:B; fi:B","A: a-->B, b-->B; B: a-->A, b-->A; in:B; fi:B"
"A: a-->A, b-->B; B: a-->B, b-->B; in:A; fi:B","A: a-->A, b-->B; B: a-->B, b-->B; in:A; fi:B"
"A: a-->B, b-->A; B: a-->B, b-->B; in:B; fi:A","B: a-->B, b-->B; in:B; fi:"
"A: a-->A, b-->B; B: a-->A, b-->A; in:A; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->B, b-->B; B: a-->A, b-->A; in:A; fi:B","A: a-->B, b-->B; B: a-->A, b-->A; in:A; fi:B"
"A: a-->A, b-->B; B: a-->B, b-->B; in:B; fi:A,B","B: a-->B, b-->B; in:B; fi:B"
"A: a-->A, b-->B; B: a-->A, b-->A; in:A; fi:A","A: a-->A, b-->B; B: a-->A, b-->A; in:A; fi:A"
"A: a-->B, b-->A; B: a-->A, b-->B; in:A; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->A, b-->B; B: a-->A, b-->B; in:B; fi:B","A: a-->A, b-->B; B: a-->A, b-->B; in:B; fi:B"
"A: a-->B, b-->A; B: a-->A, b-->A; in:B; fi:A","A: a-->B, b-->A; B: a-->A, b-->A; in:B; fi:A"
"A: a-->A, b-->A; B: a-->B, b-->B; in:A; fi:A,B","A: a-->A, b-->A; in:A; fi:A"
"A: a-->B, b-->B; B: a-->B, b-->B; in:B; fi:","B: a-->B, b-->B; in:B; fi:"
"A: a-->B, b-->A; B: a-->A, b-->A; in:A; fi:B","A: a-->B, b-->A; B: a-->A, b-->A; in:A; fi:B"
"A: a-->A, b-->B; B: a-->B, b-->A; in:B; fi:A","A: a-->A, b-->B; B: a-->B, b-->A; in:B; fi:A"
"A: a-->A, b-->A; B: a-->B, b-->A; in:B; fi:B","A: a-->A, b-->A; B: a-->B, b-->A; in:B; fi:B"
"A: a-->B, b-->B; B: a-->B, b-->A; in:B; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->B; B: a-->A, b-->B; in:B; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
