studentId,kriteriumId,lesserComparableId,greaterComparableId
1,0,4,55
1,0,55,96
1,0,96,33
1,1,49,7
1,1,7,35
1,1,35,45
1,2,94,7
1,2,7,91
1,2,91,85
1,3,33,74
1,3,74,2
1,3,2,28
1,4,90,7
1,4,7,100
1,4,100,20
1,5,45,49
1,5,49,68
1,5,68,29
1,6,20,53
1,6,53,73
1,6,73,21
1,7,96,11
1,7,11,82
1,7,82,44
1,8,29,97
1,8,97,67
1,8,67,56
1,9,24,42
1,9,42,32
1,9,32,79
1,10,58,105
1,10,105,46
1,10,46,2
2,0,60,86
2,0,86,101
2,0,101,97
2,0,97,37
2,1,41,17
2,1,17,52
2,1,52,84
2,1,84,22
2,2,54,22
2,2,22,103
2,2,103,80
2,2,80,45
2,3,38,30
2,3,30,80
2,3,80,0
2,3,0,95
2,4,30,60
2,4,60,3
2,4,3,18
2,4,18,20
2,5,12,20
2,5,20,31
2,5,31,11
2,5,11,95
2,6,60,58
2,6,58,47
2,6,47,42
2,6,42,0
2,7,79,55
2,7,55,33
2,7,33,97
2,7,97,65
2,8,41,38
2,8,38,88
2,8,88,81
2,8,81,98
2,9,100,68
2,9,68,98
2,9,98,57
2,9,57,23
2,10,18,30
2,10,30,3
2,10,3,51
2,10,51,5
3,0,57,86
3,0,86,15
3,0,15,12
3,0,12,3
3,1,86,35
3,1,35,63
3,1,63,71
3,1,71,20
3,2,50,21
3,2,21,40
3,2,40,33
3,2,33,18
3,3,90,86
3,3,86,69
3,3,69,22
3,3,22,3
3,4,76,3
3,4,3,84
3,4,84,33
3,4,33,51
3,5,62,38
3,5,38,23
3,5,23,72
3,5,72,29
3,6,86,78
3,6,78,53
3,6,53,31
3,6,31,27
3,7,98,101
3,7,101,79
3,7,79,55
3,7,55,27
3,8,45,79
3,8,79,101
3,8,101,29
3,8,29,105
3,9,44,95
3,9,95,15
3,9,15,31
3,9,31,42
3,10,42,49
3,10,49,90
3,10,90,50
3,10,50,82
4,0,57,89
4,0,89,39
4,0,39,13
4,0,13,85
4,0,85,27
4,0,27,43
4,1,90,47
4,1,47,29
4,1,29,11
4,1,11,104
4,1,104,69
4,1,69,88
4,2,65,86
4,2,86,11
4,2,11,52
4,2,52,66
4,2,66,97
4,2,97,79
4,3,15,73
4,3,73,98
4,3,98,65
4,3,65,41
4,3,41,18
4,3,18,94
4,4,42,66
4,4,66,67
4,4,67,51
4,4,51,29
4,4,29,89
4,4,89,13
4,5,17,34
4,5,34,47
4,5,47,79
4,5,79,42
4,5,42,13
4,5,13,51
4,6,46,85
4,6,85,93
4,6,93,57
4,6,57,1
4,6,1,74
4,6,74,77
4,7,9,53
4,7,53,0
4,7,0,86
4,7,86,30
4,7,30,24
4,7,24,76
4,8,2,64
4,8,64,23
4,8,23,18
4,8,18,59
4,8,59,55
4,8,55,21
4,9,8,66
4,9,66,46
4,9,46,95
4,9,95,45
4,9,45,55
4,9,55,94
4,10,75,40
4,10,40,4
4,10,4,94
4,10,94,41
4,10,41,72
4,10,72,30
5,0,41,54
5,0,54,98
5,0,98,33
5,1,23,20
5,1,20,29
5,1,29,83
5,2,32,83
5,2,83,41
5,2,41,98
5,3,43,20
5,3,20,53
5,3,53,8
5,4,11,73
5,4,73,43
5,4,43,84
5,5,53,54
5,5,54,10
5,5,10,101
5,6,68,42
5,6,42,93
5,6,93,45
5,7,58,52
5,7,52,19
5,7,19,71
5,8,105,84
5,8,84,77
5,8,77,65
5,9,68,46
5,9,46,1
5,9,1,105
5,10,44,24
5,10,24,16
5,10,16,54
6,0,99,87
6,0,87,46
6,0,46,34
6,0,34,8
6,0,8,54
6,1,50,75
6,1,75,34
6,1,34,39
6,1,39,68
6,1,68,43
6,2,55,88
6,2,88,99
6,2,99,25
6,2,25,18
6,2,18,85
6,3,1,85
6,3,85,90
6,3,90,12
6,3,12,15
6,3,15,60
6,4,75,47
6,4,47,85
6,4,85,73
6,4,73,21
6,4,21,101
6,5,29,47
6,5,47,80
6,5,80,42
6,5,42,24
6,5,24,52
6,6,12,9
6,6,9,67
6,6,67,38
6,6,38,45
6,6,45,43
6,7,49,72
6,7,72,28
6,7,28,101
6,7,101,16
6,7,16,1
6,8,86,9
6,8,9,99
6,8,99,81
6,8,81,25
6,8,25,65
6,9,28,4
6,9,4,12
6,9,12,16
6,9,16,59
6,9,59,47
6,10,7,39
6,10,39,8
6,10,8,70
6,10,70,41
6,10,41,35
7,0,26,12
7,0,12,51
7,1,1,90
7,1,90,29
7,2,41,13
7,2,13,96
7,3,46,54
7,3,54,16
7,4,83,81
7,4,81,34
7,5,17,104
7,5,104,54
7,6,77,66
7,6,66,73
7,7,24,63
7,7,63,1
7,8,74,53
7,8,53,60
7,9,99,85
7,9,85,73
7,10,18,97
7,10,97,81
8,0,53,99
8,0,99,29
8,0,29,9
8,1,7,23
8,1,23,13
8,1,13,69
8,2,45,47
8,2,47,97
8,2,97,10
8,3,94,9
8,3,9,44
8,3,44,100
8,4,103,11
8,4,11,3
8,4,3,30
8,5,31,103
8,5,103,98
8,5,98,92
8,6,2,17
8,6,17,42
8,6,42,51
8,7,56,45
8,7,45,95
8,7,95,18
8,8,60,71
8,8,71,24
8,8,24,43
8,9,0,16
8,9,16,6
8,9,6,5
8,10,60,79
8,10,79,33
8,10,33,59
9,0,64,98
9,0,98,53
9,0,53,13
9,0,13,48
9,1,22,103
9,1,103,15
9,1,15,18
9,1,18,76
9,2,6,31
9,2,31,69
9,2,69,10
9,2,10,59
9,3,47,35
9,3,35,91
9,3,91,50
9,3,50,33
9,4,76,58
9,4,58,35
9,4,35,77
9,4,77,79
9,5,4,0
9,5,0,53
9,5,53,67
9,5,67,12
9,6,19,15
9,6,15,88
9,6,88,32
9,6,32,59
9,7,66,28
9,7,28,29
9,7,29,43
9,7,43,73
9,8,68,87
9,8,87,104
9,8,104,74
9,8,74,29
9,9,60,105
9,9,105,68
9,9,68,96
9,9,96,26
9,10,37,93
9,10,93,15
9,10,15,18
9,10,18,13
10,0,21,13
10,0,13,86
10,0,86,72
10,1,84,15
10,1,15,62
10,1,62,13
10,2,70,105
10,2,105,24
10,2,24,42
10,3,95,41
10,3,41,17
10,3,17,42
10,4,83,20
10,4,20,33
10,4,33,8
10,5,15,59
10,5,59,86
10,5,86,92
10,6,83,4
10,6,4,29
10,6,29,33
10,7,68,80
10,7,80,26
10,7,26,55
10,8,65,10
10,8,10,44
10,8,44,42
10,9,1,65
10,9,65,82
10,9,82,37
10,10,85,47
10,10,47,100
10,10,100,15
11,0,88,85
11,0,85,86
11,0,86,64
11,1,26,1
11,1,1,28
11,1,28,36
11,2,44,20
11,2,20,51
11,2,51,21
11,3,38,37
11,3,37,8
11,3,8,47
11,4,22,87
11,4,87,90
11,4,90,103
11,5,29,78
11,5,78,59
11,5,59,95
11,6,72,0
11,6,0,45
11,6,45,20
11,7,46,71
11,7,71,57
11,7,57,63
11,8,35,64
11,8,64,28
11,8,28,81
11,9,51,11
11,9,11,21
11,9,21,82
11,10,56,11
11,10,11,17
11,10,17,60
12,0,56,21
12,0,21,40
12,1,86,15
12,1,15,88
12,2,59,80
12,2,80,76
12,3,82,5
12,3,5,55
12,4,1,51
12,4,51,81
12,5,37,86
12,5,86,55
12,6,10,34
12,6,34,49
12,7,88,22
12,7,22,30
12,8,95,55
12,8,55,103
12,9,60,79
12,9,79,86
12,10,30,90
12,10,90,95
13,0,47,105
13,0,105,102
13,0,102,52
13,1,55,61
13,1,61,56
13,1,56,50
13,2,72,41
13,2,41,40
13,2,40,7
13,3,79,101
13,3,101,27
13,3,27,16
13,4,65,52
13,4,52,50
13,4,50,33
13,5,78,66
13,5,66,65
13,5,65,4
13,6,5,44
13,6,44,33
13,6,33,35
13,7,56,5
13,7,5,97
13,7,97,13
13,8,25,41
13,8,41,36
13,8,36,11
13,9,7,3
13,9,3,35
13,9,35,30
13,10,101,38
13,10,38,54
13,10,54,69
14,0,75,86
14,0,86,8
14,0,8,19
14,1,70,33
14,1,33,36
14,1,36,97
14,2,0,9
14,2,9,29
14,2,29,3
14,3,94,3
14,3,3,21
14,3,21,7
14,4,54,84
14,4,84,40
14,4,40,9
14,5,7,40
14,5,40,74
14,5,74,18
14,6,8,33
14,6,33,90
14,6,90,104
14,7,61,21
14,7,21,36
14,7,36,25
14,8,31,40
14,8,40,89
14,8,89,44
14,9,53,64
14,9,64,13
14,9,13,43
14,10,36,23
14,10,23,76
14,10,76,42
15,0,85,91
15,0,91,81
15,1,4,60
15,1,60,88
15,2,46,7
15,2,7,51
15,3,85,15
15,3,15,45
15,4,2,96
15,4,96,77
15,5,92,25
15,5,25,38
15,6,40,65
15,6,65,10
15,7,68,96
15,7,96,17
15,8,58,29
15,8,29,56
15,9,49,73
15,9,73,57
15,10,30,74
15,10,74,83
16,0,60,45
16,0,45,85
16,0,85,104
16,0,104,38
16,1,73,101
16,1,101,71
16,1,71,88
16,1,88,17
16,2,51,71
16,2,71,96
16,2,96,72
16,2,72,21
16,3,31,69
16,3,69,90
16,3,90,66
16,3,66,75
16,4,47,95
16,4,95,42
16,4,42,51
16,4,51,9
16,5,53,93
16,5,93,51
16,5,51,36
16,5,36,13
16,6,42,48
16,6,48,90
16,6,90,34
16,6,34,101
16,7,81,40
16,7,40,91
16,7,91,32
16,7,32,44
16,8,83,58
16,8,58,47
16,8,47,81
16,8,81,59
16,9,7,47
16,9,47,38
16,9,38,28
16,9,28,90
16,10,30,76
16,10,76,95
16,10,95,49
16,10,49,100
17,0,54,35
17,0,35,82
17,0,82,23
17,0,23,48
17,0,48,83
17,1,4,78
17,1,78,34
17,1,34,90
17,1,90,70
17,1,70,89
17,2,53,20
17,2,20,59
17,2,59,77
17,2,77,79
17,2,79,11
17,3,1,59
17,3,59,94
17,3,94,62
17,3,62,92
17,3,92,65
17,4,50,53
17,4,53,40
17,4,40,90
17,4,90,2
17,4,2,8
17,5,63,81
17,5,81,101
17,5,101,0
17,5,0,33
17,5,33,87
17,6,6,87
17,6,87,11
17,6,11,43
17,6,43,25
17,6,25,40
17,7,9,67
17,7,67,89
17,7,89,45
17,7,45,1
17,7,1,68
17,8,11,35
17,8,35,3
17,8,3,28
17,8,28,103
17,8,103,52
17,9,69,42
17,9,42,40
17,9,40,56
17,9,56,96
17,9,96,90
17,10,3,28
17,10,28,13
17,10,13,94
17,10,94,38
17,10,38,57
18,0,10,79
18,0,79,54
18,0,54,87
18,0,87,88
18,1,98,23
18,1,23,26
18,1,26,96
18,1,96,89
18,2,76,93
18,2,93,82
18,2,82,78
18,2,78,62
18,3,77,7
18,3,7,52
18,3,52,19
18,3,19,68
18,4,65,85
18,4,85,84
18,4,84,2
18,4,2,45
18,5,75,36
18,5,36,66
18,5,66,103
18,5,103,43
