studentId,kriteriumId,lesserComparableId,greaterComparableId
1,0,210,143
1,0,143,146
1,0,146,52
1,1,249,193
1,1,193,197
1,1,197,126
1,2,158,212
1,2,212,197
1,2,197,41
1,3,236,136
1,3,136,235
1,3,235,124
1,4,93,83
1,4,83,37
1,4,37,216
1,5,213,251
1,5,251,45
1,5,45,106
1,6,168,40
1,6,40,209
1,6,209,9
1,7,250,91
1,7,91,218
1,7,218,17
1,8,57,29
1,8,29,96
1,8,96,155
1,9,88,67
1,9,67,71
1,9,71,139
1,10,214,5
1,10,5,35
1,10,35,240
2,0,31,178
2,0,178,140
2,0,140,257
2,0,257,146
2,1,79,169
2,1,169,263
2,1,263,264
2,1,264,43
2,2,204,135
2,2,135,16
2,2,16,185
2,2,185,99
2,3,49,80
2,3,80,225
2,3,225,137
2,3,137,25
2,4,219,55
2,4,55,190
2,4,190,134
2,4,134,253
2,5,133,51
2,5,51,113
2,5,113,71
2,5,71,59
2,6,244,180
2,6,180,54
2,6,54,107
2,6,107,145
2,7,133,42
2,7,42,6
2,7,6,121
2,7,121,33
2,8,17,102
2,8,102,246
2,8,246,229
2,8,229,259
2,9,87,136
2,9,136,177
2,9,177,222
2,9,222,61
2,10,253,138
2,10,138,207
2,10,207,139
2,10,139,226
3,0,8,261
3,0,261,177
3,0,177,75
3,0,75,216
3,1,138,66
3,1,66,236
3,1,236,125
3,1,125,266
3,2,166,16
3,2,16,112
3,2,112,10
3,2,10,175
3,3,268,267
3,3,267,71
3,3,71,122
3,3,122,145
3,4,41,260
3,4,260,167
3,4,167,70
3,4,70,245
3,5,20,119
3,5,119,237
3,5,237,106
3,5,106,262
3,6,264,39
3,6,39,233
3,6,233,271
3,6,271,121
3,7,267,135
3,7,135,218
3,7,218,258
3,7,258,129
3,8,153,23
3,8,23,14
3,8,14,195
3,8,195,247
3,9,272,73
3,9,73,223
3,9,223,235
3,9,235,269
3,10,139,181
3,10,181,104
3,10,104,94
3,10,94,129
4,0,150,111
4,0,111,247
4,0,247,195
4,0,195,42
4,0,42,125
4,0,125,161
4,1,44,204
4,1,204,34
4,1,34,226
4,1,226,46
4,1,46,79
4,1,79,47
4,2,97,27
4,2,27,202
4,2,202,168
4,2,168,104
4,2,104,131
4,2,131,71
4,3,16,192
4,3,192,13
4,3,13,67
4,3,67,271
4,3,271,62
4,3,62,47
4,4,191,147
4,4,147,169
4,4,169,210
4,4,210,75
4,4,75,71
4,4,71,177
4,5,88,56
4,5,56,102
4,5,102,150
4,5,150,46
4,5,46,177
4,5,177,129
4,6,153,68
4,6,68,224
4,6,224,9
4,6,9,247
4,6,247,88
4,6,88,255
4,7,151,246
4,7,246,105
4,7,105,248
4,7,248,133
4,7,133,272
4,7,272,169
4,8,245,45
4,8,45,261
4,8,261,224
4,8,224,183
4,8,183,51
4,8,51,153
4,9,126,136
4,9,136,70
4,9,70,263
4,9,263,140
4,9,140,83
4,9,83,39
4,10,58,158
4,10,158,267
4,10,267,83
4,10,83,227
4,10,227,126
