studentId,kriteriumId,lesserComparableId,greaterComparableId
1,0,74,43
1,0,43,23
1,0,23,54
1,1,1,11
1,1,11,25
1,1,25,74
1,2,72,85
1,2,85,7
1,2,7,96
1,3,103,97
1,3,97,4
1,3,4,63
1,4,103,41
1,4,41,71
1,4,71,65
1,5,1,54
1,5,54,64
1,5,64,14
1,6,38,61
1,6,61,35
1,6,35,13
1,7,37,35
1,7,35,65
1,7,65,77
1,8,76,25
1,8,25,32
1,8,32,5
1,9,105,22
1,9,22,61
1,9,61,15
1,10,67,32
1,10,32,104
1,10,104,61
2,0,7,92
2,0,92,81
2,0,81,50
2,0,50,93
2,0,93,78
2,0,78,96
2,1,25,5
2,1,5,10
2,1,10,55
2,1,55,75
2,1,75,43
2,1,43,99
2,2,73,52
2,2,52,16
2,2,16,96
2,2,96,6
2,2,6,89
2,2,89,105
2,3,103,60
2,3,60,77
2,3,77,83
2,3,83,96
2,3,96,23
2,3,23,11
2,4,29,90
2,4,90,41
2,4,41,82
2,4,82,23
2,4,23,68
2,4,68,3
2,5,5,59
2,5,59,23
2,5,23,1
2,5,1,73
2,5,73,42
2,5,42,40
2,6,86,77
2,6,77,49
2,6,49,64
2,6,64,38
2,6,38,93
2,6,93,12
2,7,89,97
2,7,97,55
2,7,55,48
2,7,48,96
2,7,96,70
2,7,70,71
2,8,40,22
2,8,22,8
2,8,8,87
2,8,87,102
2,8,102,43
2,8,43,14
2,9,19,33
2,9,33,85
2,9,85,62
2,9,62,50
2,9,50,91
2,9,91,32
2,10,8,16
2,10,16,81
2,10,81,67
2,10,67,44
2,10,44,100
2,10,100,95
3,0,52,8
3,0,8,44
3,0,44,57
3,0,57,9
3,0,9,90
3,0,90,20
3,1,36,43
3,1,43,35
3,1,35,54
3,1,54,105
3,1,105,87
3,1,87,69
3,2,29,80
3,2,80,4
3,2,4,83
3,2,83,20
3,2,20,32
3,2,32,97
3,3,0,93
3,3,93,15
3,3,15,38
3,3,38,103
3,3,103,99
3,3,99,69
3,4,82,16
3,4,16,40
3,4,40,69
3,4,69,86
3,4,86,10
3,4,10,3
3,5,37,22
3,5,22,65
3,5,65,45
3,5,45,53
3,5,53,6
3,5,6,54
3,6,13,8
3,6,8,89
3,6,89,45
3,6,45,58
3,6,58,79
3,6,79,55
3,7,86,7
3,7,7,68
3,7,68,46
3,7,46,98
3,7,98,44
3,7,44,102
3,8,35,91
3,8,91,18
3,8,18,1
3,8,1,65
3,8,65,4
3,8,4,41
3,9,104,40
3,9,40,53
3,9,53,96
3,9,96,39
3,9,39,102
3,9,102,101
3,10,15,82
3,10,82,45
3,10,45,77
3,10,77,8
3,10,8,61
3,10,61,27
4,0,11,100
4,0,100,62
4,0,62,56
4,0,56,12
4,1,9,43
4,1,43,40
4,1,40,25
4,1,25,91
4,2,14,87
4,2,87,30
4,2,30,102
4,2,102,46
4,3,12,43
4,3,43,50
4,3,50,82
4,3,82,27
4,4,102,77
4,4,77,43
4,4,43,37
4,4,37,51
4,5,86,76
4,5,76,63
4,5,63,17
4,5,17,58
4,6,91,89
4,6,89,52
4,6,52,95
4,6,95,6
4,7,31,78
4,7,78,17
4,7,17,21
4,7,21,65
4,8,52,63
4,8,63,105
4,8,105,6
4,8,6,90
4,9,80,54
4,9,54,66
4,9,66,58
4,9,58,9
4,10,45,70
4,10,70,86
4,10,86,51
4,10,51,23
5,0,22,51
5,0,51,61
5,0,61,90
5,0,90,104
5,0,104,87
5,0,87,89
5,1,35,99
5,1,99,14
5,1,14,20
5,1,20,105
5,1,105,9
5,1,9,22
5,2,60,20
5,2,20,12
5,2,12,105
5,2,105,88
5,2,88,73
5,2,73,25
5,3,84,103
5,3,103,48
5,3,48,59
5,3,59,85
5,3,85,40
5,3,40,79
5,4,6,92
5,4,92,32
5,4,32,37
5,4,37,68
5,4,68,5
5,4,5,34
5,5,22,18
5,5,18,40
5,5,40,55
5,5,55,67
5,5,67,10
5,5,10,65
5,6,38,60
5,6,60,69
5,6,69,10
5,6,10,23
5,6,23,85
5,6,85,77
5,7,7,0
5,7,0,74
5,7,74,47
5,7,47,72
5,7,72,9
5,7,9,23
5,8,35,51
5,8,51,41
5,8,41,56
5,8,56,40
5,8,40,71
5,8,71,49
5,9,51,27
5,9,27,81
5,9,81,59
5,9,59,34
5,9,34,55
5,9,55,78
5,10,0,56
5,10,56,3
5,10,3,22
5,10,22,68
5,10,68,93
5,10,93,67
6,0,92,31
6,0,31,49
6,0,49,28
6,0,28,57
6,0,57,53
6,1,47,99
6,1,99,51
6,1,51,8
6,1,8,3
6,1,3,80
6,2,69,40
6,2,40,95
6,2,95,47
6,2,47,7
6,2,7,33
6,3,14,95
6,3,95,64
6,3,64,71
6,3,71,35
6,3,35,7
6,4,33,77
6,4,77,47
6,4,47,70
6,4,70,100
6,4,100,93
6,5,73,89
6,5,89,52
6,5,52,50
6,5,50,8
6,5,8,93
6,6,39,34
6,6,34,79
6,6,79,8
6,6,8,91
6,6,91,52
6,7,13,24
6,7,24,73
6,7,73,45
6,7,45,81
6,7,81,33
6,8,91,58
6,8,58,89
6,8,89,50
6,8,50,88
6,8,88,4
6,9,71,4
6,9,4,21
6,9,21,8
6,9,8,92
6,9,92,90
6,10,97,41
6,10,41,2
6,10,2,68
6,10,68,87
6,10,87,57
7,0,60,34
7,0,34,53
7,0,53,37
7,0,37,101
7,0,101,31
7,0,31,88
7,1,65,32
7,1,32,78
7,1,78,71
7,1,71,54
7,1,54,76
7,1,76,1
7,2,23,43
7,2,43,46
7,2,46,27
7,2,27,18
7,2,18,87
7,2,87,69
7,3,23,38
7,3,38,20
7,3,20,86
7,3,86,28
7,3,28,14
7,3,14,27
7,4,79,33
7,4,33,27
7,4,27,1
7,4,1,7
7,4,7,92
7,4,92,11
7,5,52,36
7,5,36,96
7,5,96,98
7,5,98,0
7,5,0,73
7,5,73,48
7,6,38,85
7,6,85,28
7,6,28,39
7,6,39,36
7,6,36,35
7,6,35,84
7,7,99,95
7,7,95,32
7,7,32,57
7,7,57,24
7,7,24,93
7,7,93,7
7,8,52,88
7,8,88,87
7,8,87,79
7,8,79,67
7,8,67,31
7,8,31,71
7,9,57,37
7,9,37,98
7,9,98,28
7,9,28,2
7,9,2,42
7,9,42,89
7,10,58,85
7,10,85,31
7,10,31,11
7,10,11,63
7,10,63,89
7,10,89,61
8,0,61,38
8,0,38,37
8,1,36,40
8,1,40,8
8,2,63,16
8,2,16,97
8,3,11,46
8,3,46,98
8,4,103,15
8,4,15,75
8,5,103,88
8,5,88,70
8,6,86,58
8,6,58,35
8,7,27,100
8,7,100,68
8,8,74,1
8,8,1,7
8,9,95,43
8,9,43,10
8,10,85,56
8,10,56,33
9,0,32,84
9,0,84,31
9,1,26,84
9,1,84,80
9,2,5,42
9,2,42,103
9,3,72,64
9,3,64,103
9,4,71,25
9,4,25,102
9,5,95,18
9,5,18,22
9,6,2,60
9,6,60,89
9,7,71,19
9,7,19,63
9,8,17,40
9,8,40,97
9,9,103,102
9,9,102,80
9,10,75,71
9,10,71,47
10,0,80,28
10,0,28,87
10,0,87,61
10,0,61,102
10,0,102,49
10,0,49,86
10,1,62,56
10,1,56,55
10,1,55,96
10,1,96,74
10,1,74,8
10,1,8,25
10,2,4,0
10,2,0,83
10,2,83,55
10,2,55,2
10,2,2,11
10,2,11,101
10,3,42,29
10,3,29,20
10,3,20,56
10,3,56,0
10,3,0,34
10,3,34,50
10,4,79,0
10,4,0,55
10,4,55,87
10,4,87,62
10,4,62,29
10,4,29,7
10,5,82,16
10,5,16,98
10,5,98,103
10,5,103,12
10,5,12,52
10,5,52,44
10,6,39,28
10,6,28,90
10,6,90,22
10,6,22,41
10,6,41,50
10,6,50,100
10,7,68,75
10,7,75,67
10,7,67,16
10,7,16,76
10,7,76,13
10,7,13,6
10,8,7,65
10,8,65,38
10,8,38,33
10,8,33,40
10,8,40,11
10,8,11,96
10,9,18,7
10,9,7,66
10,9,66,97
10,9,97,27
10,9,27,80
10,9,80,65
10,10,60,52
10,10,52,94
10,10,94,101
10,10,101,21
10,10,21,86
10,10,86,39
11,0,82,25
11,0,25,73
11,1,71,42
11,1,42,59
11,2,18,72
11,2,72,57
11,3,2,94
11,3,94,103
11,4,13,39
11,4,39,52
11,5,12,34
11,5,34,94
11,6,81,70
11,6,70,98
11,7,46,99
11,7,99,57
11,8,78,67
11,8,67,48
