studentId,kriteriumId,lesserComparableId,greaterComparableId
1,0,53,50
1,0,50,11
1,0,11,45
1,0,45,15
1,1,4,93
1,1,93,57
1,1,57,46
1,1,46,23
1,2,13,82
1,2,82,78
1,2,78,89
1,2,89,14
1,3,39,33
1,3,33,54
1,3,54,78
1,3,78,94
1,4,6,39
1,4,39,4
1,4,4,64
1,4,64,60
1,5,96,24
1,5,24,63
1,5,63,65
1,5,65,39
1,6,87,82
1,6,82,69
1,6,69,21
1,6,21,12
1,7,91,99
1,7,99,89
1,7,89,51
1,7,51,37
1,8,78,50
1,8,50,38
1,8,38,7
1,8,7,1
1,9,45,40
1,9,40,19
1,9,19,97
1,9,97,92
1,10,54,6
1,10,6,105
1,10,105,62
1,10,62,96
2,0,41,45
2,0,45,84
2,0,84,67
2,0,67,104
2,0,104,97
2,0,97,72
2,1,90,77
2,1,77,31
2,1,31,17
2,1,17,84
2,1,84,1
2,1,1,29
2,2,95,72
2,2,72,24
2,2,24,99
2,2,99,26
2,2,26,18
2,2,18,49
2,3,94,82
2,3,82,11
2,3,11,76
2,3,76,93
2,3,93,48
2,3,48,75
2,4,59,17
2,4,17,87
2,4,87,4
2,4,4,27
2,4,27,5
2,4,5,88
2,5,36,40
2,5,40,14
2,5,14,89
2,5,89,38
2,5,38,66
2,5,66,90
2,6,9,47
2,6,47,58
2,6,58,66
2,6,66,99
2,6,99,15
2,6,15,29
2,7,30,45
2,7,45,74
2,7,74,57
2,7,57,103
2,7,103,101
2,7,101,61
2,8,55,98
2,8,98,35
2,8,35,87
2,8,87,16
2,8,16,52
2,8,52,66
2,9,61,10
2,9,10,28
2,9,28,47
2,9,47,8
2,9,8,104
2,9,104,98
2,10,7,15
2,10,15,73
2,10,73,51
2,10,51,71
2,10,71,99
2,10,99,3
3,0,77,42
3,0,42,82
3,1,87,27
3,1,27,75
3,2,49,64
3,2,64,99
3,3,10,66
3,3,66,67
3,4,31,85
3,4,85,66
3,5,61,20
3,5,20,55
3,6,6,88
3,6,88,91
3,7,101,19
3,7,19,1
3,8,80,101
3,8,101,62
3,9,89,84
3,9,84,63
3,10,38,82
3,10,82,1
4,0,4,14
4,0,14,7
4,0,7,12
4,0,12,65
4,0,65,50
4,1,85,43
4,1,43,100
4,1,100,25
4,1,25,49
4,1,49,32
4,2,104,42
4,2,42,87
4,2,87,1
4,2,1,100
4,2,100,46
4,3,96,53
