studentId,kriteriumId,lesserComparableId,greaterComparableId
1,0,133,48
1,0,48,146
1,0,146,135
1,1,22,139
1,1,139,51
1,1,51,227
1,2,29,208
1,2,208,244
1,2,244,245
1,3,253,78
1,3,78,161
1,3,161,56
1,4,163,235
1,4,235,79
1,4,79,193
1,5,226,60
1,5,60,51
1,5,51,85
1,6,10,169
1,6,169,129
1,6,129,48
1,7,83,32
1,7,32,55
1,7,55,44
1,8,227,80
1,8,80,238
1,8,238,175
1,9,33,270
1,9,270,0
1,9,0,2
1,10,100,142
1,10,142,147
1,10,147,241
2,0,87,3
2,0,3,5
2,0,5,137
2,0,137,112
2,0,112,184
2,0,184,235
2,1,196,242
2,1,242,129
2,1,129,166
2,1,166,266
2,1,266,263
2,1,263,88
2,2,77,179
2,2,179,127
2,2,127,181
2,2,181,205
2,2,205,142
2,2,142,197
2,3,29,177
2,3,177,162
2,3,162,142
2,3,142,239
2,3,239,72
2,3,72,33
2,4,43,236
2,4,236,227
2,4,227,2
2,4,2,261
2,4,261,186
2,4,186,85
2,5,34,234
2,5,234,66
2,5,66,259
2,5,259,107
2,5,107,76
2,5,76,1
2,6,214,175
2,6,175,65
2,6,65,54
2,6,54,269
2,6,269,243
2,6,243,103
2,7,123,21
2,7,21,230
2,7,230,260
2,7,260,79
2,7,79,128
2,7,128,155
2,8,194,176
2,8,176,183
2,8,183,119
2,8,119,268
2,8,268,23
2,8,23,195
2,9,187,146
2,9,146,65
2,9,65,193
2,9,193,238
2,9,238,131
2,9,131,255
2,10,38,240
2,10,240,175
2,10,175,184
2,10,184,11
2,10,11,267
2,10,267,97
3,0,91,94
3,0,94,61
3,0,61,99
3,0,99,258
3,0,258,27
3,0,27,96
3,1,103,242
3,1,242,256
3,1,256,162
3,1,162,13
3,1,13,1
3,1,1,79
3,2,102,45
3,2,45,57
3,2,57,92
3,2,92,112
3,2,112,141
3,2,141,44
3,3,6,217
3,3,217,149
3,3,149,160
3,3,160,88
3,3,88,262
3,3,262,130
3,4,120,216
3,4,216,53
3,4,53,223
3,4,223,11
3,4,11,97
3,4,97,166
3,5,51,207
3,5,207,67
3,5,67,172
3,5,172,217
3,5,217,158
3,5,158,87
3,6,50,59
3,6,59,254
3,6,254,207
3,6,207,41
3,6,41,155
3,6,155,151
3,7,19,23
3,7,23,94
3,7,94,92
3,7,92,118
3,7,118,191
3,7,191,62
3,8,268,48
3,8,48,55
3,8,55,118
3,8,118,57
3,8,57,29
3,8,29,43
3,9,191,83
3,9,83,146
3,9,146,148
3,9,148,245
3,9,245,23
3,9,23,90
3,10,140,268
3,10,268,143
3,10,143,178
3,10,178,261
3,10,261,104
3,10,104,81
4,0,55,111
4,0,111,106
4,0,106,92
4,0,92,269
4,1,178,33
4,1,33,170
4,1,170,14
4,1,14,48
4,2,28,171
4,2,171,183
4,2,183,269
4,2,269,194
4,3,271,132
4,3,132,22
4,3,22,204
4,3,204,139
4,4,26,153
4,4,153,110
4,4,110,187
4,4,187,176
4,5,229,63
4,5,63,177
4,5,177,44
4,5,44,226
4,6,53,62
4,6,62,147
4,6,147,137
4,6,137,271
4,7,157,71
4,7,71,89
4,7,89,243
4,7,243,129
4,8,219,46
4,8,46,229
4,8,229,192
4,8,192,226
4,9,107,222
4,9,222,79
4,9,79,172
4,9,172,125
4,10,243,24
4,10,24,141
4,10,141,35
4,10,35,33
5,0,34,4
5,0,4,103
5,0,103,227
5,0,227,15
5,0,15,63
5,0,63,139
5,1,8,2
5,1,2,15
5,1,15,118
5,1,118,215
5,1,215,105
5,1,105,154
5,2,109,4
5,2,4,58
5,2,58,73
5,2,73,187
5,2,187,177
5,2,177,85
5,3,172,114
5,3,114,39
5,3,39,120
5,3,120,190
5,3,190,216
5,3,216,209
5,4,121,177
5,4,177,90
5,4,90,126
5,4,126,70
5,4,70,110
5,4,110,162
5,5,97,229
5,5,229,166
5,5,166,58
5,5,58,39
5,5,39,23
5,5,23,189
5,6,50,11
5,6,11,134
5,6,134,110
5,6,110,237
5,6,237,208
5,6,208,190
5,7,218,66
5,7,66,164
5,7,164,190
5,7,190,50
5,7,50,123
5,7,123,86
5,8,0,241
5,8,241,145
5,8,145,209
5,8,209,223
5,8,223,75
5,8,75,97
5,9,53,229
5,9,229,173
5,9,173,196
5,9,196,83
5,9,83,214
5,9,214,5
5,10,81,156
5,10,156,254
5,10,254,240
5,10,240,54
5,10,54,234
5,10,234,60
6,0,47,21
6,0,21,35
6,0,35,138
6,0,138,32
6,0,32,51
6,1,170,109
6,1,109,166
6,1,166,197
6,1,197,137
6,1,137,210
6,2,197,181
6,2,181,47
6,2,47,207
6,2,207,268
6,2,268,141
6,3,238,159
6,3,159,32
6,3,32,88
6,3,88,1
6,3,1,55
6,4,41,236
6,4,236,163
6,4,163,48
6,4,48,26
6,4,26,5
6,5,261,137
6,5,137,105
6,5,105,262
6,5,262,263
6,5,263,207
6,6,122,164
6,6,164,249
6,6,249,219
6,6,219,134
6,6,134,73
6,7,254,114
6,7,114,102
6,7,102,57
6,7,57,255
6,7,255,229
6,8,78,31
6,8,31,5
6,8,5,196
6,8,196,88
6,8,88,190
6,9,92,186
6,9,186,72
6,9,72,264
6,9,264,126
6,9,126,87
6,10,165,168
6,10,168,95
6,10,95,270
6,10,270,188
6,10,188,67
7,0,146,249
7,0,249,111
7,0,111,266
7,0,266,198
7,0,198,117
7,0,117,30
7,1,21,131
7,1,131,39
7,1,39,165
7,1,165,62
7,1,62,31
7,1,31,111
7,2,179,267
7,2,267,108
7,2,108,189
7,2,189,15
7,2,15,229
7,2,229,207
7,3,9,149
7,3,149,84
7,3,84,69
7,3,69,63
7,3,63,147
7,3,147,103
7,4,178,146
7,4,146,266
7,4,266,124
7,4,124,130
7,4,130,88
7,4,88,40
7,5,166,141
7,5,141,171
7,5,171,168
7,5,168,201
7,5,201,3
7,5,3,14
7,6,148,72
7,6,72,125
7,6,125,132
7,6,132,250
7,6,250,106
7,6,106,111
7,7,233,245
7,7,245,128
7,7,128,13
7,7,13,172
7,7,172,2
7,7,2,102
7,8,50,197
7,8,197,1
7,8,1,95
7,8,95,269
7,8,269,208
7,8,208,165
7,9,149,256
7,9,256,167
7,9,167,226
7,9,226,257
7,9,257,156
7,9,156,105
7,10,119,171
7,10,171,83
7,10,83,79
7,10,79,185
7,10,185,246
7,10,246,201
8,0,239,197
8,0,197,233
8,1,134,152
8,1,152,48
8,2,133,218
8,2,218,197
8,3,34,93
8,3,93,68
8,4,222,267
8,4,267,118
8,5,49,255
8,5,255,148
8,6,243,62
8,6,62,189
8,7,100,212
8,7,212,80
8,8,7,157
8,8,157,231
8,9,252,184
8,9,184,82
8,10,207,173
8,10,173,145
9,0,157,8
9,0,8,54
9,1,211,166
9,1,166,179
9,2,54,52
9,2,52,213
9,3,257,34
9,3,34,127
9,4,109,56
9,4,56,153
9,5,162,246
9,5,246,208
9,6,61,106
9,6,106,107
9,7,203,172
9,7,172,152
9,8,163,197
9,8,197,57
9,9,173,46
9,9,46,23
9,10,152,100
9,10,100,267
10,0,222,36
10,0,36,240
10,0,240,264
10,0,264,166
10,0,166,3
10,0,3,144
10,1,53,215
10,1,215,217
10,1,217,61
10,1,61,58
10,1,58,258
10,1,258,162
10,2,190,47
10,2,47,20
10,2,20,131
10,2,131,213
10,2,213,216
10,2,216,248
10,3,7,28
10,3,28,92
10,3,92,228
10,3,228,14
10,3,14,250
10,3,250,229
10,4,220,209
10,4,209,176
10,4,176,185
10,4,185,15
10,4,15,31
10,4,31,167
10,5,252,177
10,5,177,93
10,5,93,256
10,5,256,149
10,5,149,105
10,5,105,0
10,6,172,6
10,6,6,32
10,6,32,84
10,6,84,117
10,6,117,46
10,6,46,82
10,7,121,127
10,7,127,49
10,7,49,42
10,7,42,4
10,7,4,62
10,7,62,92
10,8,50,46
10,8,46,56
10,8,56,87
10,8,87,107
10,8,107,230
10,8,230,250
10,9,78,208
10,9,208,205
10,9,205,86
10,9,86,75
10,9,75,201
10,9,201,240
10,10,232,24
10,10,24,117
10,10,117,81
10,10,81,103
10,10,103,10
10,10,10,123
11,0,145,131
11,0,131,227
11,1,100,17
11,1,17,201
11,2,82,78
11,2,78,58
11,3,12,142
11,3,142,212
11,4,118,207
11,4,207,254
11,5,256,4
11,5,4,211
11,6,107,254
11,6,254,243
11,7,128,39
11,7,39,125
11,8,7,149
11,8,149,241
11,9,214,191
11,9,191,209
11,10,1,188
11,10,188,170
12,0,230,217
12,0,217,49
12,0,49,141
12,0,141,172
12,1,34,262
12,1,262,80
12,1,80,228
12,1,228,176
12,2,244,58
12,2,58,220
12,2,220,104
12,2,104,192
12,3,160,175
12,3,175,29
12,3,29,96
12,3,96,201
12,4,132,59
12,4,59,163
12,4,163,268
12,4,268,126
12,5,150,167
12,5,167,179
12,5,179,3
12,5,3,82
12,6,145,156
12,6,156,94
12,6,94,132
12,6,132,21
12,7,57,271
12,7,271,113
12,7,113,270
12,7,270,99
12,8,137,21
12,8,21,228
12,8,228,225
12,8,225,91
12,9,194,28
12,9,28,173
12,9,173,102
12,9,102,261
12,10,238,247
12,10,247,73
12,10,73,171
12,10,171,150
13,0,166,182
13,0,182,238
13,1,41,204
13,1,204,214
13,2,258,14
13,2,14,189
13,3,253,150
13,3,150,134
13,4,6,227
13,4,227,100
13,5,61,182
13,5,182,13
13,6,252,99
13,6,99,264
13,7,156,46
13,7,46,76
13,8,66,271
13,8,271,60
13,9,206,147
13,9,147,71
13,10,158,127
13,10,127,179
14,0,227,141
14,0,141,59
14,0,59,117
14,0,117,193
14,1,172,79
14,1,79,246
14,1,246,62
14,1,62,121
14,2,118,157
14,2,157,174
14,2,174,10
14,2,10,42
14,3,1,121
14,3,121,265
14,3,265,181
14,3,181,137
14,4,171,110
14,4,110,145
14,4,145,54
14,4,54,168
14,5,110,125
14,5,125,98
14,5,98,8
14,5,8,142
14,6,234,126
14,6,126,237
14,6,237,245
14,6,245,130
14,7,68,13
14,7,13,124
14,7,124,116
14,7,116,33
14,8,118,107
14,8,107,196
14,8,196,121
14,8,121,13
14,9,69,53
14,9,53,145
14,9,145,194
14,9,194,241
14,10,171,60
14,10,60,222
14,10,222,164
14,10,164,112
15,0,180,161
15,0,161,46
15,0,46,7
15,0,7,160
15,0,160,92
15,1,121,225
15,1,225,69
15,1,69,194
15,1,194,169
15,1,169,14
15,2,114,48
15,2,48,229
15,2,229,96
15,2,96,26
15,2,26,167
15,3,63,105
15,3,105,233
15,3,233,213
15,3,213,168
15,3,168,37
15,4,192,211
15,4,211,136
15,4,136,91
15,4,91,29
15,4,29,68
15,5,244,62
15,5,62,5
15,5,5,136
15,5,136,25
15,5,25,205
15,6,155,33
15,6,33,222
15,6,222,34
15,6,34,263
15,6,263,256
15,7,21,52
15,7,52,96
15,7,96,155
15,7,155,198
15,7,198,58
15,8,155,83
15,8,83,250
15,8,250,184
15,8,184,228
15,8,228,113
15,9,0,80
15,9,80,258
15,9,258,56
15,9,56,240
15,9,240,128
15,10,272,100
15,10,100,220
15,10,220,226
15,10,226,92
15,10,92,123
16,0,165,169
16,0,169,150
16,1,200,51
16,1,51,210
16,2,216,221
16,2,221,138
16,3,171,179
16,3,179,199
16,4,250,39
16,4,39,203
16,5,230,71
16,5,71,154
16,6,189,114
16,6,114,62
16,7,128,50
16,7,50,132
16,8,229,156
16,8,156,129
16,9,152,265
16,9,265,88
16,10,166,48
16,10,48,249
17,0,54,177
17,0,177,26
17,0,26,228
17,0,228,196
17,0,196,224
17,0,224,250
17,1,42,182
17,1,182,242
17,1,242,255
17,1,255,56
17,1,56,237
17,1,237,80
17,2,185,220
17,2,220,202
17,2,202,8
17,2,8,227
17,2,227,190
17,2,190,203
17,3,135,249
17,3,249,146
17,3,146,179
17,3,179,189
17,3,189,242
17,3,242,212
17,4,22,156
17,4,156,24
17,4,24,136
17,4,136,121
17,4,121,9
17,4,9,39
17,5,52,201
17,5,201,271
17,5,271,109
17,5,109,163
17,5,163,145
17,5,145,51
17,6,111,2
17,6,2,58
17,6,58,219
17,6,219,81
17,6,81,253
17,6,253,249
17,7,251,97
17,7,97,38
17,7,38,11
17,7,11,66
17,7,66,248
17,7,248,138
17,8,239,195
17,8,195,40
17,8,40,0
17,8,0,241
17,8,241,110
17,8,110,159
17,9,11,237
17,9,237,180
17,9,180,272
17,9,272,48
17,9,48,70
17,9,70,251
17,10,137,186
17,10,186,9
17,10,9,171
17,10,171,73
17,10,73,7
17,10,7,29
18,0,83,217
18,0,217,21
18,0,21,218
18,0,218,65
18,0,65,177
18,0,177,110
18,1,20,141
18,1,141,29
18,1,29,234
18,1,234,75
18,1,75,235
18,1,235,272
18,2,161,29
18,2,29,134
18,2,134,223
18,2,223,127
18,2,127,118
18,2,118,166
18,3,107,156
18,3,156,124
18,3,124,272
18,3,272,183
18,3,183,162
18,3,162,4
18,4,187,135
18,4,135,98
18,4,98,134
18,4,134,218
18,4,218,252
18,4,252,259
18,5,148,160
18,5,160,103
18,5,103,4
18,5,4,237
18,5,237,236
18,5,236,119
18,6,55,106
18,6,106,6
18,6,6,192
18,6,192,237
18,6,237,80
18,6,80,209
18,7,269,236
18,7,236,188
18,7,188,18
18,7,18,270
18,7,270,185
18,7,185,23
18,8,45,203
18,8,203,141
18,8,141,195
18,8,195,148
18,8,148,160
18,8,160,263
18,9,40,194
18,9,194,45
18,9,45,158
18,9,158,67
18,9,67,2
18,9,2,153
18,10,187,122
18,10,122,143
18,10,143,44
18,10,44,270
18,10,270,20
18,10,20,47
19,0,230,123
19,0,123,104
19,0,104,49
19,1,203,38
19,1,38,19
19,1,19,123
19,2,188,202
19,2,202,103
19,2,103,234
19,3,170,112
19,3,112,157
19,3,157,57
19,4,102,116
19,4,116,154
19,4,154,170
19,5,30,230
19,5,230,136
19,5,136,170
19,6,84,231
19,6,231,1
19,6,1,240
19,7,195,25
19,7,25,18
19,7,18,226
19,8,143,158
19,8,158,156
19,8,156,50
19,9,145,225
19,9,225,77
19,9,77,192
19,10,230,268
19,10,268,136
19,10,136,164
20,0,39,136
20,0,136,175
20,0,175,131
20,1,42,11
20,1,11,247
20,1,247,127
20,2,114,253
20,2,253,112
20,2,112,1
20,3,148,164
20,3,164,113
20,3,113,23
20,4,59,101
20,4,101,123
20,4,123,106
20,5,184,116
20,5,116,44
20,5,44,166
20,6,78,182
20,6,182,51
20,6,51,10
20,7,206,232
20,7,232,148
20,7,148,242
20,8,218,176
20,8,176,6
20,8,6,30
20,9,253,143
20,9,143,2
20,9,2,128
20,10,153,118
20,10,118,126
20,10,126,128
21,0,172,194
21,0,194,267
21,0,267,215
21,0,215,241
21,0,241,230
21,0,230,33
21,1,45,259
21,1,259,199
21,1,199,91
21,1,91,18
21,1,18,39
21,1,39,111
21,2,120,39
21,2,39,227
21,2,227,67
21,2,67,219
21,2,219,50
21,2,50,88
21,3,252,52
21,3,52,132
21,3,132,144
21,3,144,113
21,3,113,180
21,3,180,196
21,4,52,261
21,4,261,244
21,4,244,185
21,4,185,5
21,4,5,21
21,4,21,236
21,5,24,70
21,5,70,78
21,5,78,12
21,5,12,125
21,5,125,236
21,5,236,0
21,6,40,215
21,6,215,169
21,6,169,220
21,6,220,222
21,6,222,146
21,6,146,120
21,7,160,76
21,7,76,234
21,7,234,244
21,7,244,31
21,7,31,170
21,7,170,270
21,8,138,87
21,8,87,225
21,8,225,133
21,8,133,109
21,8,109,153
21,8,153,154
21,9,183,219
21,9,219,31
21,9,31,154
21,9,154,218
21,9,218,51
21,9,51,111
21,10,122,88
21,10,88,188
21,10,188,196
21,10,196,229
21,10,229,34
21,10,34,240
22,0,152,244
22,0,244,211
22,1,81,19
22,1,19,8
22,2,90,31
22,2,31,92
22,3,203,234
22,3,234,221
22,4,153,22
22,4,22,222
22,5,241,219
22,5,219,142
22,6,143,113
22,6,113,258
22,7,80,63
22,7,63,74
22,8,224,79
22,8,79,211
22,9,259,5
