studentId,kriteriumId,lesserComparableId,greaterComparableId
1,0,231,113
1,0,113,69
1,1,30,19
1,1,19,224
1,2,166,79
1,2,79,225
1,3,203,265
1,3,265,95
1,4,121,15
1,4,15,64
1,5,57,87
1,5,87,203
1,6,32,102
1,6,102,182
1,7,132,71
1,7,71,73
1,8,126,60
1,8,60,91
1,9,202,238
1,9,238,155
1,10,216,119
1,10,119,28
2,0,257,160
2,0,160,10
2,1,57,99
2,1,99,247
2,2,121,257
2,2,257,262
2,3,162,68
2,3,68,211
2,4,265,168
2,4,168,99
2,5,6,171
2,5,171,126
2,6,88,204
2,6,204,98
2,7,242,106
2,7,106,269
2,8,210,188
2,8,188,240
2,9,72,202
2,9,202,180
2,10,63,150
2,10,150,111
3,0,210,125
3,0,125,63
3,0,63,119
3,1,177,74
3,1,74,67
3,1,67,92
3,2,231,77
3,2,77,11
3,2,11,2
3,3,207,118
3,3,118,129
3,3,129,257
3,4,160,201
3,4,201,138
3,4,138,70
3,5,146,193
3,5,193,263
3,5,263,257
3,6,216,61
3,6,61,195
3,6,195,165
3,7,150,167
3,7,167,265
3,7,265,33
3,8,228,21
3,8,21,59
3,8,59,264
3,9,130,209
3,9,209,13
3,9,13,256
3,10,210,170
3,10,170,202
3,10,202,153
4,0,19,255
4,0,255,16
4,0,16,176
4,0,176,101
4,0,101,27
4,0,27,186
4,1,95,122
4,1,122,17
4,1,17,113
4,1,113,18
4,1,18,206
4,1,206,147
4,2,236,167
4,2,167,243
4,2,243,138
4,2,138,159
4,2,159,91
4,2,91,3
4,3,192,232
4,3,232,152
4,3,152,269
4,3,269,171
4,3,171,234
4,3,234,227
4,4,92,135
4,4,135,90
4,4,90,71
4,4,71,9
4,4,9,242
4,4,242,32
4,5,172,18
4,5,18,11
4,5,11,221
4,5,221,17
4,5,17,269
4,5,269,107
4,6,126,113
4,6,113,100
4,6,100,103
4,6,103,87
4,6,87,155
4,6,155,146
4,7,111,207
4,7,207,163
4,7,163,82
4,7,82,85
4,7,85,12
4,7,12,165
4,8,119,228
4,8,228,180
4,8,180,144
4,8,144,222
4,8,222,17
4,8,17,211
4,9,69,265
4,9,265,222
4,9,222,94
4,9,94,148
4,9,148,63
4,9,63,129
4,10,244,260
4,10,260,4
4,10,4,113
4,10,113,249
4,10,249,166
4,10,166,22
5,0,208,43
5,0,43,199
5,0,199,19
5,0,19,95
5,0,95,179
5,1,94,78
5,1,78,132
5,1,132,66
5,1,66,244
5,1,244,67
5,2,114,223
5,2,223,143
5,2,143,0
5,2,0,161
5,2,161,244
5,3,31,40
5,3,40,139
5,3,139,20
5,3,20,223
5,3,223,238
5,4,212,63
5,4,63,43
5,4,43,129
5,4,129,192
5,4,192,96
5,5,37,59
5,5,59,85
5,5,85,200
5,5,200,171
5,5,171,98
5,6,263,33
5,6,33,22
5,6,22,163
5,6,163,138
5,6,138,264
5,7,39,111
5,7,111,16
5,7,16,89
5,7,89,261
5,7,261,184
5,8,85,177
5,8,177,107
5,8,107,267
5,8,267,53
5,8,53,226
5,9,24,161
5,9,161,201
5,9,201,179
5,9,179,158
5,9,158,11
5,10,11,91
5,10,91,158
5,10,158,129
5,10,129,205
5,10,205,242
6,0,52,175
6,0,175,236
6,1,76,131
6,1,131,165
6,2,256,22
6,2,22,248
6,3,140,76
6,3,76,38
6,4,65,139
6,4,139,161
6,5,173,267
6,5,267,172
6,6,181,79
6,6,79,247
6,7,134,94
6,7,94,31
6,8,6,58
6,8,58,227
6,9,57,115
6,9,115,140
6,10,5,31
6,10,31,35
7,0,269,23
7,0,23,237
7,0,237,45
7,0,45,135
7,0,135,271
7,0,271,216
7,1,122,61
7,1,61,183
7,1,183,206
7,1,206,129
7,1,129,182
7,1,182,42
7,2,209,249
7,2,249,67
7,2,67,197
7,2,197,3
7,2,3,38
7,2,38,118
7,3,222,267
7,3,267,178
7,3,178,43
7,3,43,261
7,3,261,65
7,3,65,140
7,4,225,92
7,4,92,204
7,4,204,40
7,4,40,87
7,4,87,102
7,4,102,38
7,5,62,183
7,5,183,101
7,5,101,23
7,5,23,63
7,5,63,67
7,5,67,243
7,6,20,250
7,6,250,110
7,6,110,150
7,6,150,198
7,6,198,224
7,6,224,112
7,7,53,241
7,7,241,113
7,7,113,3
7,7,3,191
7,7,191,128
7,7,128,42
7,8,65,254
7,8,254,170
7,8,170,185
7,8,185,187
7,8,187,16
7,8,16,206
7,9,26,219
7,9,219,183
7,9,183,222
7,9,222,201
7,9,201,71
7,9,71,164
7,10,261,63
7,10,63,47
7,10,47,213
7,10,213,1
7,10,1,27
7,10,27,229
8,0,204,52
8,0,52,272
8,0,272,259
8,0,259,268
8,0,268,129
8,0,129,73
8,1,95,133
8,1,133,29
8,1,29,206
8,1,206,197
8,1,197,172
8,1,172,108
8,2,257,154
8,2,154,178
8,2,178,262
8,2,262,37
8,2,37,113
8,2,113,271
8,3,31,108
8,3,108,86
8,3,86,77
8,3,77,27
8,3,27,49
8,3,49,260
8,4,137,21
8,4,21,79
8,4,79,183
8,4,183,106
8,4,106,95
8,4,95,204
8,5,75,225
8,5,225,252
8,5,252,15
8,5,15,126
8,5,126,129
8,5,129,30
8,6,92,211
8,6,211,269
